PIC18F24,,,
Pin,Name,Type,Side
1,Vpp/~MCLR~/RE3,power_in,Left
2,RA0,bidirectional,Left
3,RA1,bidirectional,Left
4,RA2,bidirectional,Left
5,RA3,bidirectional,Left
6,RA4,bidirectional,Left
7,RA5,bidirectional,Left
8,Vss,power_in,Left
9,RA7,bidirectional,Left
10,RA6,bidirectional,Left
11,RC0,bidirectional,Left
12,RC1,bidirectional,Left
13,RC2,bidirectional,Left
14,RC3,bidirectional,Left
15,RC4,bidirectional,Right
16,RC5,bidirectional,Right
17,RC6,bidirectional,Right
18,RC7,bidirectional,Right
19,Vss,power_in,Right
20,Vdd,power_in,Right
21,RB0,bidirectional,Right
22,RB1,bidirectional,Right
23,RB2,bidirectional,Right
24,RB3,bidirectional,Right
25,RB4,bidirectional,Right
26,RB5,bidirectional,Right
27,RB6/ICSPCLK,bidirectional,Right
28,RB7/ICSPDAT,bidirectional,Right
